postcode,longitude,latitude
2339,150.6512,-31.7152
2340,151.0,-31.1833
2341,150.6487,-31.3491
2342,150.5833,-31.1667
2343,150.3414,-31.5553
2344,150.8219,-31.2141
2345,150.7835,-30.8951
2346,150.5,-30.7
2347,150.5773,-30.2297
2348,150.7174,-31.191
2350,151.9045,-30.5712
2351,151.0635,-30.85
2352,151.1553,-31.0388
2353,151.0706,-31.0177
2354,151.3512,-30.9652
2355,151.0513,-30.7384
2356,148.9675,-30.6101
2357,149.279,-31.2773
2358,151.5834,-30.6941
2359,151.0167,-30.2667
2360,151.1667,-29.6833
2361,151.0931,-29.3219
2365,151.8667,-30.1333
2369,151.2125,-29.9559
2370,151.8663,-29.5724
2371,151.3667,-29.3
2372,151.6667,-29.1167
2379,149.9,-31.1
2380,150.1333,-31.0
2381,150.2675,-31.1167
2382,150.0637,-30.7365
2386,148.9667,-30.1167
2387,148.909,-29.8169
2388,149.2951,-30.1831
2390,149.7394,-30.4977
2395,149.481,-31.5928
2396,149.0119,-30.9329
2397,149.5679,-29.8152
2398,149.8,-29.7333
2399,150.2033,-29.5435
2400,150.0146,-29.4657
2401,150.3331,-29.5833
2402,150.7473,-29.2571
2403,150.83,-29.654
2404,150.572,-29.8693
2405,149.5794,-28.7233
2406,149.2548,-29.0185
2408,150.3896,-28.9348
2409,150.3593,-28.6048
2410,150.7769,-28.9043
2411,150.3014,-29.1331
2415,151.8602,-32.2915
2420,151.7612,-32.3474
2421,151.6159,-32.6061
2422,151.5346,-31.9223
2423,152.1667,-32.3
2424,152.112,-31.8414
2425,151.9418,-32.5368
2426,152.589,-31.8127
2427,152.6917,-31.8723
2428,152.4818,-32.3157
2429,152.2833,-31.7167
2430,152.4673,-31.9428
2431,153.0413,-30.8855
2439,152.6875,-31.6466
2440,153.0413,-30.8855
2441,152.9006,-30.8463
2442,152.7419,-31.1374
2443,152.5357,-32.057
2444,152.6444,-31.7083
2445,152.8391,-31.5906
2446,152.7262,-31.4579
2447,152.9694,-30.7172
2448,153.0001,-30.6124
2449,152.7396,-30.6888
2450,153.0,-30.2833
2452,153.1014,-30.3646
2453,152.61,-30.282
2454,153.0432,-30.4649
2455,153.0142,-30.497
2456,153.1959,-30.0804
2460,153.378,-28.4277
2462,153.2677,-29.8616
2463,153.1975,-29.4581
2464,153.3322,-29.4042
2465,153.2418,-29.4258
2466,153.3524,-29.4067
2469,152.8384,-29.0454
2470,153.0667,-29.0333
2471,153.2418,-28.9494
2472,153.4,-29.0167
2473,153.4307,-29.1178
2474,153.0974,-28.6013
2475,152.483,-28.545
2476,152.3275,-28.4799
2477,153.4425,-28.872
2478,153.5135,-28.9163
2479,153.5239,-28.6867
2480,153.3167,-28.9333
2481,153.5669,-28.6309
2482,153.4396,-28.5657
2483,153.5198,-28.4177
